Country code,1990 temp,Hadley,BCM,IPSL,HADCM
AFG,12.40808209,-1.588732214,-0.323286789,0.078233055,-0.068990685
AGO,22.40246121,-0.263537207,-0.114652164,-0.057324785,-0.171089719
ALB,12.22275847,-1.276959284,-0.454036013,-0.245797729,-0.247714572
AND,4.19717374,-1.814516665,-0.084379429,0.098279638,-0.093244273
ARE,27.10674966,-1.355634309,-0.208603096,-0.128751221,-0.076344401
ARG,17.84188508,0.371768161,0.038259971,-0.12270315,-0.083749158
ARM,8.21127131,-2.655260236,-0.163624318,-0.058204142,0.148335775
ATG,26.93447018,-2.42882445,-0.051422215,-0.096568807,-0.019913737
AUS,17.29801303,0.258856998,-0.017020387,-0.159675763,-0.022208317
AUT,7.759979184,-1.275624441,-0.469356074,-0.339095956,-0.120477747
AZE,13.58794055,-2.352711436,-0.159696468,-0.016242472,0.141724141
BDI,21.13008549,-0.00372377,0.091450151,-0.113603719,-0.108235677
BEL,9.880852622,-1.736134174,-0.451365693,-0.405127631,-0.421907552
BEN,27.55876115,-0.007285095,-0.102645507,-0.166462877,-0.004185203
BFA,28.22270824,-0.050978613,-0.254054687,-0.014964676,0.024809859
BGD,25.68996246,-0.379116972,-0.011243238,-0.241483483,-0.185881786
BGR,10.76874224,-1.444351587,-0.333126284,-0.258850572,0.105566406
BHR,27.668572,-1.585357071,-0.380439648,-0.228638268,0.07864732
BHS,25.42947372,-0.579137607,-0.165034294,-0.203003269,-0.025830756
BIH,9.490083749,-1.202776897,-0.476762973,-0.297962443,-0.133840942
BLR,6.502253845,-1.238796893,-0.119078264,-0.078717894,0.180023325
BLZ,25.62315042,-0.201970367,-0.015345796,-0.192149353,0.091271973
BMU,23.3375609,-2.42882445,-0.624371812,-0.915707257,0.499723377
BOL,16.43554032,-0.148208261,0.086412858,-0.205880104,-0.376670849
BRA,23.54841052,-0.219650706,0.072806117,-0.164737403,-0.229611815
BRB,26.95525242,-2.998086682,-0.484800816,-0.286826579,-0.216176351
BRN,27.47858076,-0.101552357,0,0,0
BTN,12.77500366,-0.552329943,-0.089564578,-0.218969727,-0.113893636
BWA,22.2272458,-0.676637642,-0.077328185,0.05924677,-0.358520206
CAF,25.77042269,-0.265189412,-0.057979818,-0.133784456,-0.033417285
CAN,5.934437983,-1.512667868,-0.293446567,-0.446662134,0.249820763
CHE,7.690696351,-1.544050574,-0.485213032,-0.374138387,-0.363982747
CHL,12.63326496,0.349796923,0.028163648,-0.127473714,-0.029846578
CHN,14.84291005,-1.15085018,-0.138809728,-0.172615586,-0.047831141
CIV,26.40096767,-0.050060306,-0.090286125,-0.172869619,-0.039148966
CMR,25.29563877,-0.18013589,-0.10885267,-0.148613537,-0.022208607
COD,24.43049449,-0.098049023,-0.07316641,-0.130366751,-0.112664456
COG,25.09334165,0.031706932,-0.116436663,-0.146367573,0.011969357
COL,20.74424431,0.194521632,0.04882159,-0.151555314,-0.332676686
COM,24.95838665,0.20958,0,0,0
CPV,21.40504868,-1.821945598,0,0,0
CRI,22.88140055,0.28872541,0.052115313,-0.292364502,-0.352277018
CUB,26.02383724,-0.313403227,-0.142988261,-0.205124806,0.065182156
