Country Name,ISO,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24101.10943,25870.75594,26533.3439,27430.7524,28656.52021,28648.99002,28499.08943,30215.94923,30512.68391,30728.0545,33120.05418,32117.91232,30862.22269,31387.28296,34176.4646,35207.57724,36362.21932,37865.49349,38515.2638,34693.08675,33732.84745,35492.61849,35498.98209,37419.89282,38223.37226,38249.05487,38390.27165,39454.62983,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.4858861,888.15337,885.840819,979.2739786,1031.643135,1176.126357,1218.118215,1454.663015,1637.377987,1626.764793,1806.76393,1874.765634,1897.525938,1886.692977,1896.99252,1934.636754,1951.558504
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089.683369,3120.356148,2908.160798,2190.76816,2195.532289,2496.199493,2794.896906,2953.342709,3027.341795,3037.721175,3097.307292,3191.266323,3564.096026,3614.607278,3978.697195,4555.185842,5048.876449,5697.251328,6221.423373,6092.783245,6230.297028,6346.395122,6772.528333,6980.423038,7199.245478,7096.600615,6756.935074,6650.58494,6440.97627
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.464533,1909.107682,1823.301602,2057.442806,2289.865511,2665.756031,2980.056366,2717.353077,3021.01535,3471.662055,3861.341888,4301.324882,4661.408398,4994.529758,5422.774623,5865.301138,6559.739618,7276.345441,8228.364871,8814.834988,9628.003545,10207.75352,10526.25533,10571.00749,11259.28982,11662.04493,11868.21152,12930.06768,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6806.0417,6870.076412,7252.888724,7455.71333,7642.560928,7770.94916,8090.870601,8394.168048,8794.237764,8935.042594,9412.247227,9582.871873,9580.757511,9973.32024,10938.51724,11644.94247,12440.33896,13039.58123,13736.73964,13638.18451,14125.53895,14516.43078,15420.67909,15821.47794,16151.46873,16500.69058,16911.01781,17102.12692,17557.81271
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72906.52012,71753.72956,71567.82752,70082.38933,72471.68729,74994.38062,76848.79224,80390.06411,77421.10866,76654.25591,82215.31447,80843.60537,79863.48973,82946.33521,85147.21909,81635.46797,79970.73625,72802.1616,66641.48428,56975.52938,54230.17367,56574.28818,58961.20201,62641.83699,66516.88225,70261.53502,72386.09047,73355.87698,74942.72149
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7380.115031,8210.643432,8942.569853,9777.214005,10435.91077,10225.11871,10857.42967,11802.84259,12255.67626,11878.73117,11916.58261,11514.61911,10310.12912,11307.75798,12527.8005,13916.53051,15334.93686,16994.69598,17850.13019,16753.39489,18524.85676,19817.45048,19764.22501,20365.61335,20008.32064,20551.83319,20130.40803,20843.15507,20567.30179
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2428.55896,2237.752728,1356.210786,1296.178498,1429.102386,1591.894846,1742.734114,1852.200102,2025.55542,2136.121598,2327.362522,2621.854364,3031.121882,3539.630267,4038.455075,4772.590047,5609.16897,6609.171824,7264.561195,6326.657969,6565.67866,7019.767748,7649.061531,8003.087763,8405.073655,8727.385447,8808.572714,9620.818491,10324.93513
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11338.6407,11818.6779,12018.64082,12695.84238,13538.92498,12937.97733,13744.22839,14431.30912,14966.93885,15440.25113,16544.40627,15820.77873,16011.03363,17077.11709,18303.73906,19805.81968,22657.85671,25020.9019,25090.51874,21875.23479,20237.67277,19953.19277,20779.82503,20867.02846,22000.75028,22882.97022,24177.95972,25145.54123,26739.46819
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17329.57788,17790.76552,18189.07734,19131.53983,20064.2867,20894.39721,21972.05265,22934.78601,24196.72128,25264.36436,26328.67368,27336.68269,28718.24108,29693.90591,31327.37749,32575.06925,34306.65231,36560.40565,37459.30765,40300.30823,39324.36895,41965.35842,42826.78958,45902.04795,46880.22066,46270.1974,47352.11161,49653.71589,51544.86742
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19442.31204,20585.01931,21259.63675,21698.30767,22606.82964,23660.40861,24529.20783,25424.06993,26674.60955,27606.48303,29380.06604,29715.22222,31178.69333,32108.63255,33743.04471,35013.71404,37623.07576,39392.54059,41316.22518,40926.52376,42006.04688,44452.73275,46457.34578,47922.04912,48799.71547,49877.71331,51655.50309,53879.29785,56253.0858
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5703.869981,5765.287735,4495.397849,3485.511575,2820.251176,2510.53851,2563.720993,2732.700293,3011.087699,3251.934949,3663.445257,4082.68233,4504.976485,5018.890056,5581.871258,7290.229953,9989.206473,12724.34834,14047.66019,15162.8878,15884.04479,15754.15236,16193.39567,17216.17853,17808.9019,17973.09067,17417.08669,17525.27963,18012.31548
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.7039012,707.3092624,715.2297296,673.1692275,649.8996288,601.9874705,557.1693503,552.1150432,578.8523018,573.7140549,571.3263123,582.4678169,601.5297558,587.2425099,612.4744378,617.0619445,648.7489871,666.8755949,689.7486433,698.1735533,718.7144691,739.219255,762.4224795,788.8937827,812.0300436,764.1957633,743.9035976,737.9785829,742.796896
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18758.99755,19675.6326,20349.32658,20550.63989,21600.12521,22531.71693,22891.1031,23927.50564,24563.97501,25642.26165,27988.47361,28958.49317,30482.78465,31056.42977,32237.96541,33332.33135,35386.24354,36872.63472,38133.50146,38008.8318,40051.9559,41284.15101,42435.90925,43611.07291,44604.51105,45592.35618,47214.18064,49411.8691,50774.90592
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.1686909,988.7710146,1005.614605,1052.038609,1059.292046,1109.72406,1142.406294,1192.095665,1216.727387,1262.405244,1326.089814,1384.897282,1428.017897,1459.584662,1518.93259,1546.708441,1609.104674,1701.971136,1769.252435,1773.729771,1781.563317,1820.889304,1891.530388,2006.327881,2114.480315,2122.235592,2169.755807,2276.59573,2420.479725
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.9151714,601.5015452,600.2564122,618.7524048,623.0491023,654.2616207,719.4563668,756.7321851,798.4742693,845.7668493,855.7447616,906.0727906,933.2403657,995.4642409,1037.231644,1128.295648,1198.756926,1261.982902,1339.245523,1348.005973,1394.2531,1472.715841,1550.630684,1620.205369,1672.023437,1704.859643,1773.318838,1866.17062,1975.036848
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.21051,899.1421235,948.2721469,994.6737327,1033.086949,1085.349904,1130.860059,1176.895726,1226.020893,1275.738234,1346.743205,1419.137782,1469.845761,1541.185923,1638.916165,1773.888588,1923.417573,2088.720935,2231.689464,2335.918717,2466.902949,2650.729933,2844.702565,3033.404632,3240.885623,3451.398507,3696.776193,3998.419424,4364.045283
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7493.171022,7162.939705,6866.732681,6980.836488,7284.220484,7683.816896,6779.283461,5696.748326,6141.219214,5767.192339,6377.846822,6908.917992,7726.455095,8343.157437,9122.848932,10211.27383,11313.47738,12800.88582,14328.96449,14146.17915,14934.1145,15676.13848,16208.25072,16571.02626,17534.3888,18186.48636,19500.40144,20948.09706,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22785.93747,25491.08019,27107.57633,30554.63341,30371.60883,31420.16924,32448.81862,33098.97402,34002.09133,34685.27952,35763.00654,35689.30954,35642.78123,36338.40147,37461.73988,38491.8748,39171.03859,40299.97905,40566.83468,39423.08169,39740.46109,40168.29077,41754.68966,44274.96706,46333.3989,46912.90416,47215.551,47660.47991,47219.84105
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120.34846,19565.53696,18882.62026,19028.99141,19700.16227,20668.90774,21643.23036,22206.17095,23253.1428,24976.2782,26238.18446,27102.45479,27812.35914,27482.05591,27956.38229,29258.70162,30326.45273,30996.4288,30299.92548,28760.51286,29099.05721,29503.70807,30656.07675,30762.79394,31005.8011,31362.47918,30862.53836,31581.10439,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.9065683,1208.234928,2364.767391,3257.337434,3809.630345,4225.43595,4547.985372,4751.09089,5136.549745,5373.153369,6200.622105,6479.65705,7406.295289,8188.635767,9028.845922,9030.507997,9347.582216,9976.477133,10304.03098,11016.57325,11433.21414,12013.9908,12824.08511,13735.03024,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429.321055,5542.852529,5113.892295,4826.324636,4357.753957,3999.324127,4200.594883,4780.387121,5265.243908,5546.145097,6027.325186,6483.761082,6962.798228,7644.927706,8809.526945,10005.93725,11409.2556,12781.80909,14409.22188,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375,18098.42286,18915.93989,19959.54272
